City,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Total Internet Services,Contract,Payment Method,Total Charges,Churn Value
Newberry Springs,Male,0,0,0,13,1,0,Fiber optic,1,Month-to-month,Electronic check,1008.7,1
Redlands,Female,0,1,0,9,1,0,Fiber optic,2,Month-to-month,Electronic check,853.1,1
Rialto,Male,0,0,0,10,1,1,DSL,2,Month-to-month,Credit card (automatic),794.25,1
Shoshone,Female,0,0,0,2,1,0,DSL,4,Month-to-month,Electronic check,160.8,1
Wrightwood,Female,1,0,0,20,1,1,DSL,1,Month-to-month,Mailed check,1174.35,1
Yermo,Male,0,1,0,9,1,0,Fiber optic,2,Month-to-month,Electronic check,741.7,1
Yucaipa,Male,1,0,0,32,1,1,Fiber optic,2,Month-to-month,Credit card (automatic),3019.25,1
San Bernardino,Female,0,1,0,70,1,1,DSL,3,Two year,Credit card (automatic),4759.75,1
San Bernardino,Male,0,0,0,1,1,0,0,0,Month-to-month,Mailed check,19.65,1
Riverside,Male,0,0,0,1,1,1,Fiber optic,1,Month-to-month,Mailed check,84.65,1
Riverside,Female,1,1,0,1,1,0,Fiber optic,0,Month-to-month,Electronic check,69.55,1
Lake Elsinore,Female,0,0,0,13,0,0,DSL,1,Month-to-month,Electronic check,347.25,1
Aguanga,Male,0,0,0,7,1,0,DSL,1,Month-to-month,Mailed check,354.05,1
Homeland,Female,0,1,1,1,1,0,DSL,0,Month-to-month,Bank transfer (automatic),44.35,1
Moreno Valley,Female,0,0,0,7,1,0,Fiber optic,1,Month-to-month,Electronic check,586.05,1
San Jacinto,Male,0,0,1,54,1,1,DSL,1,Month-to-month,Credit card (automatic),3092.65,1
San Jacinto,Female,1,0,0,5,1,0,Fiber optic,2,Month-to-month,Mailed check,415.55,1
Temecula,Male,1,0,0,1,1,1,Fiber optic,0,Month-to-month,Electronic check,73.65,1
Temecula,Male,0,1,0,33,1,0,DSL,4,One year,Mailed check,2405.05,1
Temecula,Female,0,1,0,55,1,1,Fiber optic,1,Month-to-month,Electronic check,4458.15,1
Irvine,Female,1,1,0,6,1,1,Fiber optic,1,Month-to-month,Electronic check,474.9,1
Capistrano Beach,Female,0,0,0,8,1,0,Fiber optic,2,Month-to-month,Electronic check,668.4,1
Corona Del Mar,Male,0,0,0,11,1,0,Fiber optic,1,Month-to-month,Electronic check,926.25,1
Costa Mesa,Male,0,1,0,49,0,0,DSL,3,One year,Bank transfer (automatic),2541.25,1
Dana Point,Female,1,1,0,1,1,0,DSL,0,Month-to-month,Electronic check,46.0,1
Lake Forest,Male,1,0,0,15,1,0,Fiber optic,1,Month-to-month,Electronic check,1156.1,1
Huntington Beach,Male,1,1,0,16,1,0,Fiber optic,0,Month-to-month,Bank transfer (automatic),1167.8,1
Laguna Beach,Male,1,1,0,44,1,1,Fiber optic,2,One year,Mailed check,3912.9,1
Newport Beach,Female,0,0,1,5,1,0,DSL,0,Month-to-month,Mailed check,221.7,1
Silverado,Male,0,0,0,4,1,1,DSL,0,Month-to-month,Credit card (automatic),201.1,1
Trabuco Canyon,Male,0,1,0,30,1,1,Fiber optic,3,Month-to-month,Electronic check,2838.7,1
Mission Viejo,Female,0,0,0,1,1,0,Fiber optic,0,Month-to-month,Mailed check,70.15,1
Anaheim,Male,0,0,0,9,0,0,DSL,1,Month-to-month,Credit card (automatic),296.1,1
Anaheim,Female,0,0,0,1,1,0,Fiber optic,1,Month-to-month,Electronic check,81.1,1
Brea,Female,0,1,1,1,1,0,0,0,Month-to-month,Mailed check,20.55,1
Brea,Female,0,0,0,61,1,1,Fiber optic,4,Two year,Electronic check,6428.4,1
Fullerton,Male,0,1,0,59,1,1,Fiber optic,5,Month-to-month,Electronic check,6252.9,1
Garden Grove,Female,0,0,0,3,1,0,Fiber optic,2,Month-to-month,Electronic check,240.45,1
Garden Grove,Female,0,0,0,3,1,0,Fiber optic,4,Month-to-month,Electronic check,315.3,1
Orange,Male,0,0,0,1,1,0,DSL,1,Month-to-month,Mailed check,55.7,1
Orange,Male,0,0,0,13,1,0,Fiber optic,2,Month-to-month,Electronic check,973.45,1
Yorba Linda,Female,0,1,0,18,0,0,DSL,2,Month-to-month,Electronic check,669.85,1
Camarillo,Female,1,1,0,3,1,0,Fiber optic,2,Month-to-month,Mailed check,267.4,1
Moorpark,Female,1,0,0,1,1,0,Fiber optic,0,Month-to-month,Electronic check,69.85,1
Oxnard,Female,0,0,0,1,1,0,DSL,1,Month-to-month,Mailed check,53.55,1
Piru,Female,0,1,0,70,1,1,Fiber optic,4,Two year,Bank transfer (automatic),6579.05,1
Santa Paula,Male,0,1,0,68,1,1,Fiber optic,6,Two year,Electronic check,7856.0,1
Simi Valley,Female,1,1,0,26,1,0,Fiber optic,2,Month-to-month,Electronic check,2169.75,1
Somis,Male,0,1,0,11,1,1,Fiber optic,1,Month-to-month,Bank transfer (automatic),896.9,1
Summerland,Male,0,0,0,1,1,0,0,0,Month-to-month,Mailed check,19.3,1
Santa Barbara,Male,0,0,0,1,1,0,DSL,1,Month-to-month,Mailed check,49.65,1
Santa Barbara,Female,0,0,0,46,1,0,DSL,2,Two year,Credit card (automatic),2460.15,1
Santa Barbara,Male,0,0,0,4,1,0,Fiber optic,2,Month-to-month,Electronic check,370.65,1
Avenal,Male,1,0,0,22,1,1,Fiber optic,2,Month-to-month,Bank transfer (automatic),1910.6,1
Buttonwillow,Male,0,1,0,9,1,0,Fiber optic,4,Month-to-month,Mailed check,890.6,1
California Hot Springs,Male,0,1,0,7,1,0,Fiber optic,0,Month-to-month,Bank transfer (automatic),529.5,1
Corcoran,Female,0,0,0,1,1,0,DSL,1,Month-to-month,Credit card (automatic),48.6,1
Exeter,Female,1,0,0,40,0,0,DSL,4,Month-to-month,Electronic check,2109.35,1
Farmersville,Male,0,1,0,29,1,1,Fiber optic,1,Month-to-month,Bank transfer (automatic),2265.25,1
Fellows,Female,0,0,0,3,1,1,Fiber optic,0,Month-to-month,Electronic check,220.6,1
Ivanhoe,Male,0,0,0,1,1,0,0,0,Month-to-month,Bank transfer (automatic),20.2,1
Lebec,Female,0,1,0,3,1,1,Fiber optic,0,Month-to-month,Credit card (automatic),229.5,1
Lemon Cove,Male,0,0,0,23,1,1,Fiber optic,4,Month-to-month,Mailed check,2470.1,1
Maricopa,Female,0,0,0,13,1,1,Fiber optic,3,Month-to-month,Electronic check,1244.5,1
New Cuyama,Male,1,0,0,1,1,0,0,0,Month-to-month,Mailed check,20.05,1
Onyx,Female,0,0,0,39,1,1,Fiber optic,4,Month-to-month,Electronic check,3994.45,1
Richgrove,Female,0,1,1,1,1,0,0,0,Month-to-month,Electronic check,19.9,1
Shafter,Male,0,1,0,14,0,0,DSL,2,Month-to-month,Electronic check,667.7,1
Stratford,Male,0,0,0,1,1,0,0,0,Month-to-month,Electronic check,19.95,1
Taft,Male,0,0,0,1,1,0,Fiber optic,1,Month-to-month,Electronic check,79.6,1
Tipton,Male,0,0,0,1,1,0,Fiber optic,1,Month-to-month,Electronic check,75.9,1
Tulare,Male,0,1,0,1,1,0,Fiber optic,1,Month-to-month,Electronic check,76.2,1
Visalia,Male,0,0,1,1,1,0,0,0,Month-to-month,Mailed check,19.25,1
Woody,Female,0,1,0,42,1,1,Fiber optic,2,Month-to-month,Electronic check,3588.4,1
Visalia,Female,0,0,0,7,1,0,Fiber optic,1,Month-to-month,Electronic check,522.95,1
Bakersfield,Female,0,0,0,1,1,0,Fiber optic,0,Month-to-month,Electronic check,70.25,1
San Luis Obispo,Female,1,0,0,10,1,0,Fiber optic,2,Month-to-month,Credit card (automatic),865.55,1
Bradley,Female,0,1,1,17,1,1,0,0,Month-to-month,Mailed check,409.9,1
Lompoc,Female,0,0,1,1,1,0,DSL,3,Month-to-month,Electronic check,60.0,1
Lompoc,Male,0,0,0,8,1,1,Fiber optic,1,Month-to-month,Electronic check,649.65,1
Los Alamos,Female,1,1,0,1,1,0,0,0,Month-to-month,Mailed check,20.85,1
Nipomo,Female,0,0,0,39,0,0,DSL,3,Month-to-month,Electronic check,2011.4,1
Oceano,Female,1,1,0,58,1,0,Fiber optic,5,One year,Credit card (automatic),6205.5,1
Pismo Beach,Male,1,0,0,6,1,0,Fiber optic,2,Month-to-month,Bank transfer (automatic),503.6,1
Solvang,Male,0,1,0,22,1,0,DSL,2,Month-to-month,Electronic check,1152.7,1
Templeton,Female,0,1,0,70,1,1,Fiber optic,5,One year,Electronic check,7674.55,1
Mojave,Male,0,1,0,21,1,1,Fiber optic,4,Month-to-month,Electronic check,2157.95,1
Big Pine,Male,1,1,0,71,1,1,Fiber optic,4,Month-to-month,Credit card (automatic),7548.1,1
Caliente,Female,0,0,0,1,1,0,Fiber optic,1,Month-to-month,Electronic check,75.7,1
Johannesburg,Female,1,1,0,20,1,1,Fiber optic,2,Month-to-month,Electronic check,1951.0,1
Keene,Female,0,1,0,4,1,1,Fiber optic,3,Month-to-month,Electronic check,384.5,1
Lake Hughes,Male,0,0,0,32,1,1,Fiber optic,5,Month-to-month,Credit card (automatic),3432.9,1
Lancaster,Male,0,0,0,6,1,0,Fiber optic,1,Month-to-month,Credit card (automatic),463.05,1
Lone Pine,Female,1,1,0,27,1,1,Fiber optic,4,Month-to-month,Bank transfer (automatic),2867.75,1
Olancha,Male,0,0,0,1,1,0,Fiber optic,0,Month-to-month,Mailed check,71.35,1
Pearblossom,Female,0,0,0,13,1,1,Fiber optic,3,Month-to-month,Electronic check,1132.35,1
Badger,Male,0,0,0,1,1,0,0,0,Month-to-month,Mailed check,20.6,1
Biola,Male,0,0,0,19,1,1,Fiber optic,3,Month-to-month,Electronic check,1931.75,1
Clovis,Female,0,0,0,10,1,1,Fiber optic,1,Month-to-month,Credit card (automatic),818.05,1
Dinuba,Female,1,1,0,13,1,0,Fiber optic,0,Month-to-month,Electronic check,916.75,1
Hume,Female,0,0,0,1,1,0,Fiber optic,0,Month-to-month,Mailed check,70.15,1
Madera,Female,1,1,0,68,1,1,Fiber optic,3,One year,Credit card (automatic),6581.9,1
Riverdale,Female,0,0,0,39,1,0,Fiber optic,4,One year,Electronic check,3692.85,1
Selma,Female,1,0,0,1,1,0,Fiber optic,0,Month-to-month,Electronic check,69.65,1
Shaver Lake,Female,1,0,0,1,1,0,Fiber optic,2,Month-to-month,Electronic check,89.3,1
Tranquillity,Female,0,0,0,36,1,0,Fiber optic,3,Month-to-month,Electronic check,3078.1,1
Fresno,Female,1,0,0,15,1,0,Fiber optic,4,Month-to-month,Mailed check,1426.75,1
Fresno,Female,0,0,0,5,1,1,Fiber optic,1,Month-to-month,Electronic check,474.8,1
Fresno,Female,0,0,0,13,0,0,DSL,1,Month-to-month,Electronic check,446.1,1
Fresno,Male,0,1,0,5,1,1,Fiber optic,1,Month-to-month,Electronic check,416.3,1
Salinas,Female,0,0,1,2,1,0,0,0,Month-to-month,Electronic check,35.85,1
Salinas,Female,0,1,0,17,1,1,Fiber optic,1,Month-to-month,Electronic check,1451.6,1
Carmel By The Sea,Male,0,1,0,1,1,0,Fiber optic,0,Month-to-month,Electronic check,71.0,1
Chualar,Male,1,0,0,9,1,1,Fiber optic,1,Month-to-month,Electronic check,746.5,1
Greenfield,Male,0,0,1,1,1,0,DSL,0,Month-to-month,Electronic check,44.4,1
San Lucas,Male,1,1,0,1,1,0,Fiber optic,0,Month-to-month,Electronic check,70.3,1
Seaside,Female,0,1,0,1,1,0,Fiber optic,1,Month-to-month,Bank transfer (automatic),79.35,1
Burlingame,Female,0,0,0,9,1,0,Fiber optic,2,Month-to-month,Bank transfer (automatic),809.75,1
Daly City,Male,0,1,0,20,1,0,Fiber optic,0,Month-to-month,Electronic check,1470.95,1
Portola Valley,Male,1,0,0,70,0,0,DSL,2,One year,Electronic check,3264.45,1
Mountain View,Female,0,0,0,3,1,1,Fiber optic,0,Month-to-month,Electronic check,246.3,1
Redwood City,Male,1,0,0,20,1,0,Fiber optic,0,Month-to-month,Credit card (automatic),1389.2,1
Redwood City,Male,1,1,0,21,1,0,Fiber optic,0,Month-to-month,Electronic check,1474.75,1
South San Francisco,Female,0,1,0,17,1,1,Fiber optic,2,Month-to-month,Electronic check,1460.65,1
Sunnyvale,Female,0,0,0,2,1,0,Fiber optic,0,Month-to-month,Bank transfer (automatic),153.05,1
San Francisco,Female,0,0,0,21,1,1,Fiber optic,2,Month-to-month,Electronic check,2119.5,1
San Francisco,Male,0,1,1,5,1,1,0,0,Month-to-month,Bank transfer (automatic),135.0,1
San Francisco,Male,0,0,0,24,1,1,DSL,1,Month-to-month,Bank transfer (automatic),1400.55,1
San Francisco,Female,0,0,0,1,1,0,Fiber optic,0,Month-to-month,Electronic check,69.65,1
San Francisco,Female,0,0,0,10,1,1,Fiber optic,3,Month-to-month,Electronic check,1060.2,1
San Francisco,Female,1,0,0,1,1,0,Fiber optic,2,Month-to-month,Electronic check,86.0,1
San Francisco,Female,0,0,0,53,1,1,Fiber optic,4,One year,Credit card (automatic),5785.5,1
San Francisco,Male,0,0,0,3,0,0,DSL,1,Month-to-month,Electronic check,79.45,1
San Francisco,Male,1,1,0,46,0,0,DSL,5,One year,Bank transfer (automatic),2816.65,1
Palo Alto,Female,0,1,0,49,1,1,Fiber optic,2,Month-to-month,Electronic check,4783.5,1
Palo Alto,Male,0,0,0,11,0,0,DSL,2,One year,Electronic check,470.6,1
San Mateo,Male,0,0,0,45,1,1,Fiber optic,3,Month-to-month,Credit card (automatic),4740.0,1
Angwin,Male,0,1,1,37,0,0,DSL,3,Month-to-month,Bank transfer (automatic),1448.8,1
Antioch,Male,0,1,0,49,1,1,Fiber optic,1,Month-to-month,Electronic check,4254.85,1
Byron,Female,1,0,0,14,1,1,Fiber optic,1,Month-to-month,Electronic check,1101.85,1
Clayton,Male,0,0,0,1,1,0,0,0,Month-to-month,Mailed check,20.2,1
Concord,Female,1,0,0,47,1,1,Fiber optic,2,Month-to-month,Bank transfer (automatic),3969.35,1
Martinez,Male,1,1,0,13,1,0,Fiber optic,4,Month-to-month,Electronic check,1237.85,1
Fremont,Male,0,1,0,5,1,0,Fiber optic,3,Month-to-month,Electronic check,498.1,1
Moraga,Male,1,0,0,3,1,1,Fiber optic,4,Month-to-month,Electronic check,294.45,1
Napa,Female,1,1,0,26,1,1,Fiber optic,3,Month-to-month,Electronic check,2381.55,1
Oakley,Female,1,1,0,8,1,1,Fiber optic,1,Month-to-month,Electronic check,613.4,1
Pope Valley,Female,0,1,0,9,0,0,DSL,3,Month-to-month,Electronic check,442.2,1
Dublin,Male,0,0,0,1,1,0,Fiber optic,2,Month-to-month,Electronic check,84.85,1
Port Costa,Male,0,0,0,12,1,0,DSL,2,Month-to-month,Mailed check,654.85,1
Rodeo,Female,0,0,0,42,1,0,DSL,5,One year,Credit card (automatic),3160.55,1
Saint Helena,Female,0,1,0,33,1,1,0,0,Two year,Mailed check,740.3,1
Union City,Female,0,0,0,31,1,1,Fiber optic,2,Month-to-month,Electronic check,2806.9,1
Pleasanton,Male,1,1,0,18,1,0,Fiber optic,1,Month-to-month,Electronic check,1422.65,1
Oakland,Male,0,1,0,42,1,1,Fiber optic,4,Month-to-month,Electronic check,4138.05,1
Oakland,Male,1,0,0,4,0,0,DSL,0,Month-to-month,Bank transfer (automatic),102.5,1
Oakland,Female,0,0,0,12,1,1,DSL,3,One year,Mailed check,872.65,1
Emeryville,Female,1,0,0,15,1,1,DSL,1,Month-to-month,Credit card (automatic),757.1,1
Oakland,Male,0,1,0,7,1,0,Fiber optic,3,Month-to-month,Electronic check,608.8,1
Albany,Male,0,1,0,14,1,1,Fiber optic,1,Month-to-month,Electronic check,1139.2,1
Richmond,Male,1,1,0,3,1,1,Fiber optic,2,Month-to-month,Electronic check,279.55,1
Richmond,Male,0,0,0,16,1,0,Fiber optic,3,Month-to-month,Electronic check,1483.25,1
Richmond,Male,0,1,0,65,1,1,DSL,4,One year,Credit card (automatic),4653.85,1
San Rafael,Female,0,0,0,42,1,1,Fiber optic,4,Month-to-month,Electronic check,4400.75,1
Rohnert Park,Male,0,1,0,6,1,1,Fiber optic,1,Month-to-month,Electronic check,460.25,1
Larkspur,Male,1,1,0,53,1,1,Fiber optic,4,Month-to-month,Electronic check,5485.5,1
Novato,Female,0,1,0,5,1,0,Fiber optic,2,Month-to-month,Electronic check,404.2,1
Olema,Male,0,0,0,68,1,1,Fiber optic,5,One year,Electronic check,7176.55,1
Sausalito,Female,0,1,0,3,1,1,Fiber optic,2,Month-to-month,Credit card (automatic),242.95,1
Woodacre,Male,0,1,0,12,1,0,Fiber optic,2,Month-to-month,Bank transfer (automatic),866.45,1
Aptos,Female,0,0,0,43,0,0,DSL,3,Month-to-month,Bank transfer (automatic),2076.2,1
Ben Lomond,Male,1,1,0,68,1,1,Fiber optic,4,Month-to-month,Electronic check,7299.65,1
Boulder Creek,Male,1,0,0,25,1,1,Fiber optic,2,Month-to-month,Electronic check,2291.2,1
Campbell,Male,1,1,0,66,1,1,Fiber optic,5,One year,Electronic check,7491.75,1
Cupertino,Female,0,1,0,70,1,1,Fiber optic,6,Two year,Bank transfer (automatic),7723.9,1
Davenport,Male,1,1,0,27,0,0,DSL,1,Month-to-month,Bank transfer (automatic),1032.0,1
Felton,Female,0,0,0,1,1,0,Fiber optic,0,Month-to-month,Mailed check,70.75,1
Hollister,Male,0,0,0,3,0,0,DSL,2,Month-to-month,Mailed check,130.75,1
Morgan Hill,Male,1,1,0,29,1,1,Fiber optic,2,Month-to-month,Electronic check,2653.65,1
Santa Clara,Female,0,1,0,36,1,1,Fiber optic,3,Month-to-month,Bank transfer (automatic),3457.9,1
Watsonville,Male,0,0,0,1,0,0,DSL,2,Month-to-month,Mailed check,45.3,1
San Jose,Male,0,0,0,2,1,0,Fiber optic,3,Month-to-month,Electronic check,178.1,1
San Jose,Female,0,0,1,12,1,0,DSL,0,Month-to-month,Electronic check,480.6,1
San Jose,Male,0,1,0,1,0,0,DSL,0,Month-to-month,Electronic check,23.45,1
San Jose,Male,0,0,0,1,0,0,DSL,1,Month-to-month,Mailed check,29.7,1
San Jose,Female,0,1,0,59,1,1,Fiber optic,3,Month-to-month,Electronic check,6039.9,1
San Jose,Female,0,0,0,3,1,1,DSL,0,Month-to-month,Mailed check,151.3,1
San Jose,Female,0,0,0,1,1,0,DSL,1,Month-to-month,Electronic check,55.4,1
San Jose,Female,1,1,0,1,1,1,Fiber optic,2,Month-to-month,Electronic check,90.6,1
San Jose,Male,1,1,0,2,1,1,Fiber optic,1,Month-to-month,Mailed check,156.35,1
Stockton,Female,1,1,0,29,1,1,Fiber optic,3,Month-to-month,Bank transfer (automatic),2952.85,1
Acampo,Female,0,0,0,52,1,1,Fiber optic,5,One year,Credit card (automatic),5916.45,1
Angels Camp,Male,0,0,0,2,1,0,DSL,2,Month-to-month,Mailed check,113.35,1
Sheep Ranch,Male,0,1,0,13,1,1,Fiber optic,3,Month-to-month,Credit card (automatic),1359.0,1
Vallecito,Male,1,0,0,19,1,0,Fiber optic,3,Month-to-month,Credit card (automatic),1777.9,1
Woodbridge,Female,1,0,0,47,1,1,Fiber optic,3,Month-to-month,Electronic check,4504.55,1
Columbia,Female,0,0,0,5,1,0,DSL,2,Month-to-month,Credit card (automatic),259.8,1
Delhi,Male,1,1,0,52,1,1,Fiber optic,4,Month-to-month,Electronic check,5568.35,1
Denair,Female,0,1,0,42,1,1,DSL,0,Month-to-month,Electronic check,2203.65,1
Groveland,Female,0,0,0,25,1,0,Fiber optic,4,Month-to-month,Electronic check,2369.05,1
Hughson,Female,0,0,0,9,1,0,Fiber optic,0,Month-to-month,Electronic check,672.55,1
Jamestown,Female,0,0,0,16,1,0,Fiber optic,3,Month-to-month,Credit card (automatic),1573.7,1
Lathrop,Male,0,1,0,5,1,0,0,0,Month-to-month,Mailed check,126.05,1
Livingston,Male,0,0,0,3,1,0,0,0,Month-to-month,Mailed check,64.55,1
Modesto,Female,0,1,0,31,1,1,Fiber optic,4,Month-to-month,Electronic check,3243.45,1
Modesto,Male,0,0,0,1,1,0,Fiber optic,1,Month-to-month,Electronic check,79.25,1
Modesto,Female,0,0,0,1,1,0,DSL,0,Month-to-month,Bank transfer (automatic),44.9,1
Modesto,Male,0,1,0,10,1,0,Fiber optic,0,Month-to-month,Electronic check,659.65,1
Oakdale,Male,0,0,0,4,0,0,DSL,1,Month-to-month,Electronic check,118.5,1
Pinecrest,Male,0,0,0,43,1,1,Fiber optic,1,Month-to-month,Electronic check,3365.85,1
Planada,Male,0,0,0,4,1,0,DSL,1,Month-to-month,Electronic check,195.3,1
Riverbank,Female,1,0,0,11,1,1,Fiber optic,2,Month-to-month,Bank transfer (automatic),997.65,1
Tuolumne,Male,0,1,0,47,1,1,Fiber optic,5,One year,Credit card (automatic),5275.8,1
Vernalis,Male,0,0,0,1,1,0,Fiber optic,1,Month-to-month,Electronic check,80.5,1
Santa Rosa,Male,0,0,0,4,1,1,Fiber optic,0,Month-to-month,Bank transfer (automatic),305.55,1
Santa Rosa,Male,0,0,0,17,1,0,DSL,1,Month-to-month,Mailed check,900.5,1
Santa Rosa,Male,1,0,0,43,1,0,Fiber optic,2,Month-to-month,Mailed check,3856.75,1
Annapolis,Male,0,1,0,21,1,1,DSL,4,One year,Mailed check,1625.0,1
Caspar,Male,0,1,0,42,1,1,Fiber optic,3,Month-to-month,Bank transfer (automatic),3959.35,1
Clearlake,Male,1,0,0,46,1,0,Fiber optic,2,Month-to-month,Electronic check,3969.4,1
Comptche,Female,0,1,0,5,1,0,Fiber optic,2,Month-to-month,Electronic check,470.95,1
Eldridge,Female,1,0,0,6,1,1,Fiber optic,3,Month-to-month,Electronic check,560.6,1
Fulton,Female,1,0,0,1,0,0,DSL,0,Month-to-month,Mailed check,25.7,1
Graton,Female,0,1,0,7,1,0,Fiber optic,0,Month-to-month,Electronic check,506.9,1
Hopland,Male,0,0,0,2,1,0,DSL,0,Month-to-month,Bank transfer (automatic),80.35,1
Lakeport,Female,1,1,0,1,1,0,Fiber optic,1,Month-to-month,Mailed check,76.4,1
Laytonville,Female,0,0,0,5,1,1,Fiber optic,3,Month-to-month,Electronic check,514.0,1
Lucerne,Male,1,1,1,22,0,0,DSL,2,Month-to-month,Mailed check,880.2,1
Mendocino,Male,0,0,0,1,1,0,Fiber optic,0,Month-to-month,Electronic check,69.95,1
Navarro,Male,0,0,0,1,1,1,Fiber optic,2,Month-to-month,Electronic check,93.3,1
Nice,Male,0,0,0,3,1,0,DSL,1,Month-to-month,Electronic check,169.05,1
Yorkville,Female,0,0,0,1,0,0,DSL,1,Month-to-month,Mailed check,35.05,1
The Sea Ranch,Female,1,0,0,1,1,0,Fiber optic,1,Month-to-month,Electronic check,73.0,1
Bridgeville,Male,1,0,0,33,1,1,Fiber optic,2,Month-to-month,Credit card (automatic),2716.3,1
Burnt Ranch,Female,0,0,0,1,1,0,Fiber optic,0,Month-to-month,Electronic check,70.1,1
Garberville,Female,1,0,0,2,1,0,Fiber optic,0,Month-to-month,Electronic check,142.35,1
Hydesville,Male,0,0,0,2,1,0,0,0,Month-to-month,Mailed check,33.2,1
Miranda,Female,0,0,0,3,1,0,Fiber optic,4,Month-to-month,Credit card (automatic),287.4,1
Petrolia,Male,0,0,0,26,1,1,Fiber optic,1,Month-to-month,Electronic check,2254.2,1
Redway,Male,0,0,0,67,1,1,Fiber optic,6,Two year,Credit card (automatic),7752.3,1
Rio Dell,Female,0,1,0,71,1,1,Fiber optic,2,Two year,Bank transfer (automatic),6585.35,1
Smith River,Male,0,0,0,1,1,0,0,0,Month-to-month,Mailed check,19.7,1
Whitethorn,Female,0,0,0,5,1,1,Fiber optic,0,Month-to-month,Electronic check,413.65,1
Amador City,Female,0,0,0,9,1,0,Fiber optic,1,Month-to-month,Bank transfer (automatic),714.15,1
Auburn,Female,1,0,0,26,1,1,Fiber optic,3,Month-to-month,Electronic check,2497.2,1
Clarksburg,Male,0,0,0,54,1,0,Fiber optic,5,One year,Credit card (automatic),5643.4,1
Cool,Male,0,0,0,2,1,0,Fiber optic,3,Month-to-month,Electronic check,197.7,1
Diamond Springs,Male,0,0,0,1,1,1,Fiber optic,1,Month-to-month,Electronic check,79.15,1
Elk Grove,Female,0,1,0,30,1,0,0,0,Month-to-month,Bank transfer (automatic),655.85,1
Elmira,Female,0,0,0,4,1,0,Fiber optic,1,Month-to-month,Electronic check,303.15,1
Fair Oaks,Female,0,1,0,17,1,0,Fiber optic,3,Month-to-month,Electronic check,1574.45,1
Grizzly Flats,Female,1,0,0,60,1,1,Fiber optic,4,One year,Electronic check,6441.4,1
Jackson,Male,0,0,1,1,1,0,DSL,1,Month-to-month,Mailed check,49.9,1
Kirkwood,Female,0,0,0,13,1,1,Fiber optic,3,Month-to-month,Electronic check,1358.85,1
Lotus,Female,1,1,0,38,1,1,Fiber optic,0,Month-to-month,Bank transfer (automatic),2869.85,1
Mather,Male,1,1,1,1,1,0,DSL,1,Month-to-month,Credit card (automatic),49.25,1
Orangevale,Male,0,1,0,50,1,1,Fiber optic,4,Month-to-month,Electronic check,5071.05,1
Pleasant Grove,Male,0,1,0,65,1,1,Fiber optic,3,One year,Electronic check,5769.6,1
Rescue,Female,0,0,0,1,1,0,0,0,Month-to-month,Mailed check,20.3,1
Roseville,Male,1,1,0,7,1,1,Fiber optic,3,Month-to-month,Electronic check,700.85,1
Sloughhouse,Male,1,0,0,2,1,1,Fiber optic,2,Month-to-month,Electronic check,181.7,1
Sutter Creek,Female,0,0,0,45,1,1,Fiber optic,2,Month-to-month,Credit card (automatic),4016.85,1
Walnut Grove,Female,0,0,0,1,1,0,Fiber optic,1,Month-to-month,Credit card (automatic),74.3,1
Wheatland,Male,0,0,0,1,0,0,DSL,3,Month-to-month,Mailed check,44.65,1
Wilton,Male,0,1,0,13,1,0,Fiber optic,2,Month-to-month,Electronic check,1095.3,1
Winters,Male,0,0,0,10,1,1,Fiber optic,1,Month-to-month,Bank transfer (automatic),788.8,1
Dutch Flat,Male,0,0,0,4,1,1,Fiber optic,3,Month-to-month,Electronic check,364.55,1
Kyburz,Female,0,0,0,1,1,0,0,0,Month-to-month,Mailed check,20.4,1
Rancho Cordova,Male,0,1,0,41,1,1,Fiber optic,4,One year,Electronic check,4213.35,1
Elk Grove,Male,0,1,0,71,1,1,Fiber optic,4,Two year,Bank transfer (automatic),7723.7,1
Woodland,Female,0,0,1,3,1,0,DSL,2,Month-to-month,Mailed check,154.65,1
Sacramento,Male,0,0,0,69,1,1,Fiber optic,4,Two year,Bank transfer (automatic),7348.8,1
Sacramento,Female,0,1,0,32,1,1,Fiber optic,2,Month-to-month,Bank transfer (automatic),2954.5,1
Sacramento,Female,1,1,0,51,1,1,Fiber optic,1,Month-to-month,Electronic check,3807.35,1
Sacramento,Female,0,1,0,72,0,0,DSL,4,Two year,Electronic check,3937.45,1
Antelope,Female,0,0,0,6,1,0,Fiber optic,0,Month-to-month,Mailed check,418.4,1
Bangor,Male,0,0,0,1,1,0,DSL,1,Month-to-month,Electronic check,50.5,1
Brownsville,Male,1,0,0,1,1,1,Fiber optic,0,Month-to-month,Electronic check,74.4,1
Chico,Male,0,0,0,31,1,1,DSL,4,One year,Mailed check,2587.7,1
Dobbins,Male,0,0,0,58,1,1,Fiber optic,4,One year,Electronic check,6219.6,1
Forbestown,Male,1,1,0,47,1,1,Fiber optic,3,Month-to-month,Electronic check,4871.05,1
Gridley,Male,0,0,0,44,1,0,Fiber optic,4,Month-to-month,Electronic check,4398.15,1
Grimes,Male,0,0,0,2,1,0,Fiber optic,3,Month-to-month,Electronic check,167.3,1
Orland,Female,0,0,0,1,1,0,Fiber optic,3,Month-to-month,Electronic check,94.4,1
Quincy,Female,0,0,0,1,1,0,DSL,1,Month-to-month,Credit card (automatic),55.0,1
