Gender,Age,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Total_Internet_Services,Churn,Churn_status,Avg_Revenue_Per_Month,Refund_Ratio,Tenure_Group
Female,35,1,0,Los Angeles,90058,34.001617,-118.222274,1,39,Unknown,1,9.51,0,1,Fiber Optic,7.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,104.7,4134.85,0.0,0,370.89,4505.74,7,1.0,1,115.53179487179487,0.0,2-4y
Male,48,1,0,Sutter,95982,39.172777,-121.805845,4,65,Unknown,1,41.2,1,1,Fiber Optic,10.0,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,104.25,6812.95,0.0,0,2678.0,9490.95,6,0.0,0,146.01461538461538,0.0,4-6y
Male,55,0,0,Rancho Cucamonga,91737,34.245289,-117.642503,0,40,Unknown,0,0.0,0,1,Cable,12.0,No,Yes,No,Yes,No,No,No,No,One Year,No,Credit Card,36.0,1382.9,0.0,130,0.0,1512.9,2,0.0,0,37.822500000000005,0.0,2-4y
Female,45,1,0,Herlong,96113,40.198234,-120.18089,6,46,Unknown,1,44.75,0,1,DSL,27.0,Yes,Yes,No,Yes,No,Yes,Yes,Yes,One Year,No,Credit Card,70.6,3231.05,0.0,0,2058.5,5289.55,6,0.0,0,114.99021739130436,0.0,2-4y
Male,22,0,0,San Diego,92126,32.886925,-117.152162,0,36,Offer C,1,43.97,1,1,Fiber Optic,42.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,84.75,3050.15,0.0,0,1582.92,4633.07,3,1.0,1,128.6963888888889,0.0,2-4y
Male,49,0,0,Bonita,91902,32.67117,-117.00232,0,62,Offer B,1,48.72,0,1,DSL,2.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,80.4,4981.15,0.0,0,3020.64,8001.79,7,0.0,0,129.06112903225807,0.0,4-6y
Male,47,0,0,San Diego,92123,32.808814,-117.134694,0,30,Unknown,1,32.41,0,1,Cable,22.0,Yes,Yes,No,Yes,Yes,No,No,Yes,One Year,No,Bank Withdrawal,70.4,2044.75,0.0,0,972.3,3017.05,5,0.0,0,100.56833333333334,0.0,2-4y
Female,28,0,0,Sylmar,91342,34.321621,-118.399841,0,70,Offer A,1,17.32,1,1,Fiber Optic,30.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,113.65,7939.25,0.0,0,1212.4,9151.65,8,0.0,0,130.73785714285714,0.0,4-6y
Male,36,0,0,Long Beach,90806,33.802664,-118.179971,0,1,Unknown,1,7.76,0,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Month-to-Month,Yes,Credit Card,19.9,19.9,0.0,0,7.76,27.66,0,,0,27.66,0.0,0-6m
Male,43,0,0,Meadow Vista,95722,39.003358,-121.022539,0,5,Offer E,1,38.89,1,1,Fiber Optic,8.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Mailed Check,104.1,541.9,0.0,0,194.45,736.35,6,1.0,1,147.27,0.0,0-6m
Male,54,1,0,Bakersfield,93307,35.280113,-118.962329,7,24,Unknown,1,46.91,1,1,Fiber Optic,20.0,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,93.0,2248.05,0.0,40,1125.84,3413.89,3,0.0,0,142.24541666666667,0.0,1-2y
Male,46,0,0,Cupertino,95014,37.306612,-122.080621,0,11,Offer D,1,28.62,0,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Month-to-Month,No,Credit Card,20.25,208.0,0.0,0,314.82,522.82,0,0.0,0,47.52909090909091,0.0,6-12m
Male,54,0,0,Escondido,92025,33.081478,-117.033814,0,58,Offer B,1,32.67,0,1,Fiber Optic,14.0,Yes,Yes,No,No,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,99.15,5720.95,0.0,0,1894.86,7615.81,6,0.0,0,131.30706896551726,0.0,4-6y
Male,45,0,0,Lakewood,90712,33.840524,-118.148403,0,2,Offer E,1,46.84,0,1,DSL,3.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,44.35,81.25,0.0,0,93.68,174.93,1,1.0,1,87.465,0.0,0-6m
Male,40,0,0,Rancho Cordova,95670,38.602723,-121.279913,0,8,Offer E,1,25.72,0,1,Cable,24.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,66.25,546.45,0.0,0,205.76,752.21,4,0.0,0,94.02625,0.0,6-12m
Male,78,0,0,Newman,95360,37.343846,-121.039391,0,35,Unknown,1,26.19,1,1,Fiber Optic,19.0,Yes,No,No,No,No,Yes,No,No,Month-to-Month,No,Credit Card,91.0,3180.5,0.0,40,916.65,4137.15,2,0.0,0,118.2042857142857,0.0,2-4y
Male,76,1,0,Woodland,95695,38.71967,-121.862416,9,65,Offer B,1,8.59,1,1,Fiber Optic,7.0,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,104.35,6578.55,0.0,0,558.35,7136.9,5,0.0,0,109.79846153846154,0.0,4-6y
Female,61,1,1,Weed,96094,41.465121,-122.380947,7,68,Unknown,1,6.28,0,1,DSL,16.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Two Year,Yes,Credit Card,85.0,5607.75,0.0,130,427.04,6164.79,7,0.0,0,90.65867647058823,0.0,4-6y
Male,61,0,0,San Diego,92126,32.886925,-117.152162,0,6,Offer E,1,39.32,0,1,Fiber Optic,12.0,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.85,523.5,0.0,0,235.92,759.42,3,1.0,1,126.57,0.0,0-6m
Male,31,0,0,Oceanside,92056,33.194742,-117.29032,0,46,Unknown,1,22.13,1,1,Fiber Optic,22.0,No,Yes,Yes,No,Yes,No,No,Yes,One Year,Yes,Credit Card,94.9,4422.95,24.08,0,1017.98,5416.85,4,0.0,0,117.75760869565218,0.004445388002252231,2-4y
Female,41,0,0,Escondido,92027,33.141265,-116.967221,0,62,Offer B,1,32.58,1,1,Fiber Optic,15.0,No,No,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,100.15,6413.65,0.0,0,2019.96,8433.61,5,1.0,1,136.0259677419355,0.0,4-6y
Female,65,0,0,Caruthers,93609,36.5276,-119.865999,0,38,Unknown,1,4.09,0,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Two Year,No,Mailed Check,20.2,735.9,0.0,0,155.42,891.32,0,0.0,0,23.455789473684213,0.0,2-4y
Male,22,0,0,Weimar,95736,39.00978,-120.978273,0,1,Unknown,1,14.58,0,1,DSL,73.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Mailed Check,53.5,53.5,0.0,0,14.58,68.08,2,1.0,1,68.08,0.0,0-6m
Female,20,0,0,Yucaipa,92399,34.04597,-117.011825,0,58,Unknown,1,35.55,0,1,Fiber Optic,73.0,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.3,5817.7,0.0,0,2061.9,7879.6,5,0.0,0,135.8551724137931,0.0,4-6y
Male,46,0,0,Weaverville,96093,40.759401,-122.939337,0,17,Unknown,1,31.6,0,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,One Year,Yes,Credit Card,20.1,279.5,0.0,0,537.2,816.7,0,0.0,0,48.04117647058824,0.0,1-2y
Male,25,1,0,Corcoran,93212,36.04533,-119.532424,6,50,Offer B,1,14.32,1,1,Cable,58.0,No,No,Yes,Yes,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,69.65,3442.15,0.0,0,716.0,4158.15,4,0.0,0,83.163,0.0,4-6y
Male,40,0,1,Big Bear City,92314,34.278967,-116.773825,0,4,Offer E,1,26.04,0,1,DSL,27.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,49.35,219.65,0.0,0,104.16,323.81,2,1.0,1,80.9525,0.0,0-6m
Female,40,0,0,Brea,92821,33.930199,-117.862898,0,3,Offer E,1,15.37,0,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Month-to-Month,Yes,Credit Card,20.0,61.7,0.0,0,46.11,107.81,0,,0,35.93666666666667,0.0,0-6m
Male,67,1,0,San Rafael,94901,37.972662,-122.491452,2,8,Unknown,1,26.99,0,1,Fiber Optic,2.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,80.45,583.45,0.0,0,215.92,799.37,2,1.0,1,99.92125,0.0,6-12m
Female,77,1,0,Dinuba,93618,36.523619,-119.386868,2,13,Unknown,1,37.86,0,1,Fiber Optic,19.0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,70.15,916.75,0.0,90,492.18,1498.93,0,1.0,1,115.30230769230769,0.0,1-2y
Male,57,1,3,Grenada,96038,41.599978,-122.539381,1,55,Offer B,1,40.94,0,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Two Year,No,Credit Card,20.5,1177.95,5.83,0,2251.7,3423.82,0,0.0,0,62.25127272727273,0.0017027764310039663,4-6y
Female,30,1,0,Lucerne,95458,39.141934,-122.770679,2,71,Unknown,1,22.33,1,1,Cable,71.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,90.1,6310.9,0.0,0,1585.43,7896.33,8,0.0,0,111.21591549295775,0.0,4-6y
Female,48,0,0,Los Angeles,90012,34.065875,-118.238728,0,37,Unknown,1,9.61,0,1,Fiber Optic,11.0,No,Yes,Yes,No,No,No,No,Yes,One Year,No,Bank Withdrawal,80.05,3019.1,0.0,0,355.57,3374.67,3,0.0,0,91.2072972972973,0.0,2-4y
Male,66,1,0,Santa Ana,92705,33.766004,-117.786763,1,41,Offer B,1,45.04,1,1,Cable,29.0,No,Yes,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,111.95,4534.9,0.0,0,1846.64,6381.54,6,1.0,1,155.64731707317074,0.0,2-4y
Female,37,1,3,Anaheim,92804,33.818,-117.974404,1,55,Unknown,1,8.39,1,1,DSL,52.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,85.1,4657.95,0.0,0,461.45,5119.4,7,0.0,0,93.08,0.0,4-6y
Female,25,1,1,Oceanside,92057,33.254497,-117.285879,1,61,Offer B,0,0.0,0,1,DSL,59.0,Yes,Yes,No,Yes,No,Yes,Yes,No,One Year,Yes,Bank Withdrawal,50.7,3088.75,0.0,20,0.0,3108.75,5,0.0,0,50.96311475409836,0.0,4-6y
Male,41,1,3,Chino Hills,91709,33.942895,-117.725644,1,44,Unknown,1,37.68,0,1,DSL,24.0,No,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,-7.0,2924.05,0.0,0,1657.92,4581.97,4,0.0,0,104.13568181818182,0.0,2-4y
Male,43,1,0,Gualala,95445,38.848082,-123.50608,1,59,Offer B,1,22.71,1,1,Fiber Optic,26.0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,110.15,6448.05,0.0,0,1339.89,7787.94,7,1.0,1,131.99898305084744,0.0,4-6y
Female,67,0,0,San Jose,95110,37.34667,-121.910019,0,10,Offer D,0,0.0,0,1,DSL,4.0,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,34.7,329.8,0.0,0,0.0,329.8,2,1.0,1,32.980000000000004,0.0,6-12m
Male,42,0,2,Woodland,95776,38.694081,-121.694431,0,2,Unknown,1,49.53,0,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Month-to-Month,No,Mailed Check,20.4,42.9,0.0,0,99.06,141.96,0,,0,70.98,0.0,0-6m
Female,58,1,1,Topanga,90290,34.115192,-118.61017,2,56,Offer B,1,48.56,0,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Two Year,Yes,Credit Card,19.8,1119.9,0.0,0,2719.36,3839.26,0,0.0,0,68.55821428571429,0.0,4-6y
Male,29,1,0,Salinas,93906,36.722898,-121.633648,8,72,Offer A,1,10.68,1,1,Fiber Optic,59.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,108.4,7719.5,0.0,0,768.96,8488.46,7,0.0,0,117.89527777777776,0.0,4-6y
Male,79,0,0,Redondo Beach,90278,33.873395,-118.37019,0,1,Unknown,1,27.65,0,1,Fiber Optic,2.0,No,No,No,Yes,No,No,No,Yes,One Year,No,Bank Withdrawal,74.7,74.7,0.0,0,27.65,102.35,2,,0,102.35,0.0,0-6m
Male,74,1,0,San Francisco,94109,37.794487,-122.42227,4,44,Unknown,1,1.89,0,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Two Year,Yes,Credit Card,19.35,847.25,0.0,0,83.16,930.41,0,0.0,0,21.145681818181817,0.0,2-4y
Male,24,0,0,Mountain View,94040,37.380662,-122.086022,0,10,Offer D,1,20.29,0,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Month-to-Month,No,Credit Card,19.75,208.25,0.0,0,202.9,411.15,0,0.0,0,41.114999999999995,0.0,6-12m
Male,52,0,0,Redding,96003,40.677649,-122.29467,0,72,Offer A,1,3.43,0,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Two Year,No,Bank Withdrawal,19.85,1434.1,0.0,0,246.96,1681.06,0,0.0,0,23.348055555555554,0.0,4-6y
Male,32,0,0,Tecate,91980,32.587557,-116.636816,0,66,Offer A,1,11.56,0,1,DSL,30.0,Yes,Yes,No,No,No,No,No,Yes,One Year,Yes,Mailed Check,54.8,3465.7,0.0,0,762.96,4228.66,3,0.0,0,64.07060606060605,0.0,4-6y
Male,44,1,0,Santa Fe Springs,90670,33.933565,-118.062611,1,24,Unknown,1,34.62,1,1,Fiber Optic,23.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,-1.0,2391.8,0.0,0,830.88,3222.68,5,1.0,1,134.27833333333334,0.0,1-2y
Male,43,0,0,Sebastopol,95472,38.398815,-122.861923,0,18,Unknown,1,34.78,1,1,Fiber Optic,2.0,No,No,Yes,No,Yes,No,No,Yes,One Year,Yes,Credit Card,89.6,1633.0,0.0,0,626.04,2259.04,3,0.0,0,125.50222222222222,0.0,1-2y
Male,62,0,0,Dublin,94568,37.713926,-121.928425,0,22,Offer D,1,7.28,1,1,DSL,7.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,54.45,1127.35,0.0,0,160.16,1287.51,2,1.0,1,58.52318181818182,0.0,1-2y
Female,45,1,0,California City,93505,35.151491,-117.927597,7,64,Offer B,1,1.27,1,1,Fiber Optic,13.0,Yes,No,Yes,No,Yes,No,No,Yes,Two Year,Yes,Credit Card,94.6,5948.7,0.0,0,81.28,6029.98,4,0.0,0,94.2184375,0.0,4-6y
Female,53,1,1,Yreka,96097,41.764869,-122.671316,4,22,Unknown,0,0.0,0,1,DSL,19.0,No,Yes,No,No,Yes,No,No,No,Month-to-Month,No,Bank Withdrawal,39.2,849.9,0.0,50,0.0,899.9,2,0.0,0,40.904545454545456,0.0,1-2y
Male,79,1,0,Milford,96121,40.181279,-120.392967,7,38,Offer C,1,4.75,1,1,Fiber Optic,24.0,No,Yes,Yes,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,102.6,4009.2,45.81,0,180.5,4143.89,5,0.0,0,109.04973684210528,0.01105483012338648,2-4y
Male,31,0,0,Saratoga,95070,37.257772,-122.051824,0,5,Unknown,1,7.83,0,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Month-to-Month,No,Credit Card,20.25,109.8,0.0,0,39.15,148.95,0,0.0,0,29.79,0.0,0-6m
Female,79,0,0,Lakewood,90712,33.840524,-118.148403,0,6,Unknown,1,47.35,1,1,Fiber Optic,29.0,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,98.25,560.6,0.0,0,284.1,844.7,5,1.0,1,140.78333333333333,0.0,0-6m
Male,32,0,0,Santa Clarita,91350,34.502432,-118.41459,0,1,Offer E,1,5.67,0,1,Fiber Optic,7.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.3,70.3,0.0,0,5.67,75.97,1,1.0,1,75.97,0.0,0-6m
Male,19,1,0,Stockton,95207,38.002125,-121.324979,5,18,Unknown,1,1.28,1,1,DSL,30.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,56.8,1074.65,0.0,0,23.04,1097.69,2,0.0,0,60.982777777777784,0.0,1-2y
Female,33,0,0,Mammoth Lakes,93546,37.550074,-118.837167,0,11,Offer D,1,7.42,0,1,DSL,17.0,No,No,Yes,Yes,No,No,No,Yes,One Year,No,Bank Withdrawal,53.8,651.55,0.0,0,81.62,733.17,3,0.0,0,66.65181818181817,0.0,6-12m
Male,79,0,0,Vista,92084,33.22784,-117.200024,0,67,Offer A,1,28.88,1,1,DSL,11.0,Yes,Yes,No,Yes,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,64.55,4250.1,0.0,0,1934.96,6185.06,4,0.0,0,92.31432835820897,0.0,4-6y
Male,76,0,0,Mi Wuk Village,95346,38.121601,-120.133915,0,67,Unknown,1,38.85,1,1,Fiber Optic,19.0,No,No,Yes,No,Yes,Yes,No,Yes,Two Year,Yes,Credit Card,101.4,6841.05,0.0,0,2602.95,9444.0,4,0.0,0,140.955223880597,0.0,4-6y
Female,70,1,0,Inglewood,90303,33.936291,-118.332639,9,72,Unknown,1,8.48,1,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Two Year,Yes,Credit Card,25.7,1937.4,0.0,0,610.56,2547.96,0,0.0,0,35.388333333333335,0.0,4-6y
Female,19,0,0,Elk Creek,95939,39.53222,-122.594879,0,47,Unknown,1,48.03,0,1,Fiber Optic,69.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,75.45,3545.1,0.0,0,2257.41,5802.51,2,0.0,0,123.4576595744681,0.0,2-4y
Female,68,0,0,Likely,96116,41.266008,-120.490731,0,54,Offer B,1,45.43,1,1,Cable,2.0,No,Yes,No,Yes,Yes,No,No,Yes,One Year,No,Credit Card,72.1,3886.05,0.0,0,2453.22,6339.27,4,0.0,0,117.3938888888889,0.0,4-6y
Female,67,1,0,Catheys Valley,95306,37.394411,-120.127262,1,12,Offer D,1,30.63,1,1,Fiber Optic,27.0,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.1,1060.2,49.06,0,367.56,1378.7,4,1.0,1,114.89166666666667,0.035584246028867776,6-12m
Female,30,0,0,Redlands,92373,34.003243,-117.138286,0,31,Offer C,1,24.21,1,1,Fiber Optic,48.0,Yes,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,84.75,2613.4,0.0,0,750.51,3363.91,3,0.0,0,108.51322580645162,0.0,2-4y
Female,19,0,0,Mc Farland,93250,35.666886,-119.186717,0,11,Offer D,1,40.96,0,1,DSL,52.0,Yes,No,Yes,No,No,Yes,Yes,No,Month-to-Month,No,Bank Withdrawal,64.05,733.95,0.0,90,450.56,1274.51,4,0.0,0,115.86454545454545,0.0,6-12m
Female,72,0,0,Exeter,93221,36.301689,-119.018233,0,40,Unknown,0,0.0,0,1,Cable,6.0,Yes,Yes,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,55.8,2109.35,0.0,80,0.0,2189.35,5,1.0,1,54.73375,0.0,2-4y
Male,65,1,1,Stockton,95206,37.902422,-121.440029,8,11,Unknown,1,28.64,1,1,Fiber Optic,22.0,No,No,No,No,No,No,No,Yes,One Year,Yes,Credit Card,75.2,775.3,0.0,0,315.04,1090.34,1,0.0,0,99.12181818181817,0.0,6-12m
Male,33,0,0,Miranda,95553,40.210895,-123.86,0,5,Unknown,1,3.25,1,1,Fiber Optic,25.0,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,92.5,452.7,0.0,0,16.25,468.95,3,1.0,1,93.78999999999999,0.0,0-6m
Male,31,0,0,Salinas,93906,36.722898,-121.633648,0,1,Offer E,1,10.22,0,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Month-to-Month,Yes,Credit Card,19.75,19.75,0.0,0,10.22,29.97,0,,0,29.97,0.0,0-6m
Female,50,1,3,North Fork,93643,37.244307,-119.470256,7,20,Unknown,1,7.31,0,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,One Year,No,Bank Withdrawal,-4.0,395.6,0.0,0,146.2,541.8,0,0.0,0,27.089999999999996,0.0,1-2y
Male,58,1,3,Bodega,94922,38.343282,-122.9755,6,8,Offer E,1,26.17,0,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Month-to-Month,No,Credit Card,19.65,169.75,0.0,0,209.36,379.11,0,0.0,0,47.38875,0.0,6-12m
Male,37,0,0,Biggs,95917,39.457388,-121.818201,0,1,Unknown,1,39.55,0,1,Fiber Optic,21.0,No,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,74.3,74.3,0.0,0,39.55,113.85,2,,0,113.85,0.0,0-6m
Male,39,1,2,Canoga Park,91304,34.224377,-118.632656,5,6,Unknown,1,42.08,0,1,Fiber Optic,29.0,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,91.0,531.0,0.0,0,252.48,783.48,5,1.0,1,130.58,0.0,0-6m
Male,76,1,0,Redding,96002,40.527834,-122.318749,1,40,Unknown,1,2.85,1,1,Fiber Optic,3.0,Yes,No,No,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,101.85,4086.3,0.0,0,114.0,4200.3,4,1.0,1,105.00750000000001,0.0,2-4y
Female,20,1,0,Sunset Beach,90742,33.719221,-118.073596,5,23,Offer D,1,14.53,1,1,Cable,48.0,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,73.65,1642.75,0.0,0,334.19,1976.94,5,0.0,0,85.95391304347827,0.0,1-2y
Male,36,0,0,Murrieta,92562,33.548869,-117.334165,0,30,Offer C,1,2.87,1,1,Fiber Optic,29.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,95.0,2852.4,0.0,0,86.1,2938.5,5,0.0,0,97.95,0.0,2-4y
Female,24,0,0,Clovis,93611,36.917652,-119.593757,0,29,Unknown,1,7.01,1,1,Fiber Optic,42.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,76.0,2215.25,0.0,0,203.29,2418.54,1,0.0,0,83.39793103448275,0.0,2-4y
Male,21,1,0,Glenn,95943,39.597975,-122.032248,1,59,Offer B,0,0.0,0,1,DSL,53.0,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,44.3,2666.75,0.0,20,0.0,2686.75,3,0.0,0,45.53813559322034,0.0,4-6y
Male,74,1,0,Murphys,95247,38.147852,-120.440124,1,41,Offer B,1,45.84,1,1,Fiber Optic,18.0,Yes,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,83.75,3273.55,0.0,0,1879.44,5152.99,3,1.0,1,125.68268292682926,0.0,2-4y
Female,66,1,0,Roseville,95747,38.784329,-121.373245,5,58,Offer B,1,45.37,1,1,Fiber Optic,28.0,No,Yes,No,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,97.8,5458.8,0.0,0,2631.46,8090.26,4,0.0,0,139.48724137931035,0.0,4-6y
Female,64,1,0,Woody,93287,35.710244,-118.881679,8,1,Unknown,1,35.24,0,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Month-to-Month,Yes,Credit Card,20.65,20.65,0.0,0,35.24,55.89,0,,0,55.89,0.0,0-6m
Male,40,1,2,Woodland Hills,91364,34.153733,-118.593408,1,4,Offer E,1,25.9,0,1,DSL,19.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,44.8,169.65,0.0,0,103.6,273.25,1,0.0,0,68.3125,0.0,0-6m
Female,62,0,1,San Bernardino,92405,34.142747,-117.300864,0,61,Offer B,1,32.05,1,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Two Year,Yes,Credit Card,25.0,1498.35,0.0,0,1955.05,3453.4,0,0.0,0,56.61311475409836,0.0,4-6y
Male,41,0,0,Anaheim,92804,33.818,-117.974404,0,10,Unknown,1,27.28,0,1,Fiber Optic,27.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.0,740.0,0.0,0,272.8,1012.8,1,1.0,1,101.28,0.0,6-12m
Female,22,0,0,Orinda,94563,37.873916,-122.20522,0,39,Unknown,1,25.33,0,1,DSL,82.0,Yes,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,47.85,1886.4,0.0,70,987.87,2944.27,1,0.0,0,75.49410256410256,0.0,2-4y
Female,45,1,0,San Dimas,91773,34.102119,-117.815532,1,31,Unknown,1,30.07,0,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Month-to-Month,Yes,Credit Card,19.55,658.95,0.0,0,932.17,1591.12,0,1.0,1,51.32645161290322,0.0,2-4y
Female,36,1,0,Northridge,91325,34.236683,-118.517588,1,2,Offer E,0,0.0,0,1,DSL,12.0,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,35.1,68.75,0.0,10,0.0,78.75,2,1.0,1,39.375,0.0,0-6m
Male,47,1,0,Sacramento,95830,38.490508,-121.284171,1,31,Unknown,1,3.12,1,1,DSL,6.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,79.3,2484.0,0.0,0,96.72,2580.72,6,0.0,0,83.2490322580645,0.0,2-4y
Male,44,0,0,San Juan Bautista,95045,36.810568,-121.503022,0,4,Offer E,0,0.0,0,1,Cable,20.0,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,44.55,174.3,0.0,10,0.0,184.3,3,1.0,1,46.075,0.0,0-6m
Female,26,0,0,La Mesa,91942,32.782501,-117.01611,0,33,Unknown,1,16.76,1,1,Fiber Optic,85.0,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,90.65,2989.6,0.0,0,553.08,3542.68,4,0.0,0,107.35393939393938,0.0,2-4y
